scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-13T13:50:55.890657+09:00,2026-08-13,NVDA,NVIDIA Corporation,US,반도체,2026-08-12,224.09,108783600,124989490.0,7.8343,,84,65,38,58,58,1,HOLD,0.35,4,False,backfill,,47,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,AAPL,Apple Inc.,US,IT,2026-08-12,302.25,41657800,55507380.0,9.4267,,43,60,53,42,53,1,HOLD,0.12,1,False,backfill,,78,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,GOOGL,Alphabet Inc.,US,인터넷,2026-08-12,343.54,25012000,33070920.0,12.1029,,57,65,35,68,46,0,HOLD,-0.36,-4,False,backfill,,26,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,GOOG,Alphabet Inc.,US,인터넷,2026-08-12,342.37,15608800,21639195.0,11.6251,,57,65,35,68,46,0,HOLD,-0.35,-4,False,backfill,,26,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,MSFT,Microsoft Corporation,US,IT,2026-08-12,492.43,29001500,39294215.0,17.3657,,73,60,35,50,56,1,HOLD,0.5,6,False,backfill,,69,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,AMZN,"Amazon.com, Inc.",US,소비재,2026-08-12,267.28,29941100,49441220.0,9.8436,,87,60,27,50,54,1,HOLD,0.25,3,False,backfill,,48,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-08-12,429.15,9534200,14305640.0,15.4421,,76,65,57,58,60,1,HOLD,0.5,6,False,backfill,,41,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,AVGO,Broadcom Inc.,US,반도체,2026-08-12,416.05,15859200,18302625.0,15.9329,,87,65,35,43,54,1,HOLD,0.29,3,False,backfill,,44,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,META,"Meta Platforms, Inc.",US,인터넷,2026-08-12,578.85,16186900,16686680.0,21.8564,,43,65,35,66,46,0,HOLD,-0.3,-4,False,backfill,,47,NEUTRAL
2026-08-13T13:50:55.890657+09:00,2026-08-13,TSLA,"Tesla, Inc.",US,소비재,2026-08-12,327.51,28698900,38857165.0,10.97,,47,60,50,30,41,0,AVOID,-0.45,-5,True,backfill,,30,NEUTRAL
