scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source
2026-08-17T13:04:10.622819+09:00,2026-08-17,NVDA,NVIDIA Corporation,US,반도체,2026-08-14,225.16,75680900,120353495.0,6.8414,,72,65,71,58,68,2,WATCH,0.66,8,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,AAPL,Apple Inc.,US,IT,2026-08-14,305.93,28229400,52617430.0,8.5593,,32,60,68,42,50,0,HOLD,0.01,0,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,GOOGL,Alphabet Inc.,US,인터넷,2026-08-14,345.9,17808600,31298765.0,11.5886,,35,65,68,68,56,0,HOLD,-0.02,0,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,GOOG,Alphabet Inc.,US,인터넷,2026-08-14,343.54,10946800,20655045.0,11.0508,,35,65,60,68,53,0,HOLD,-0.11,-1,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,MSFT,Microsoft Corporation,US,IT,2026-08-14,495.4,16217600,37752185.0,16.9457,,69,60,50,50,59,0,HOLD,0.54,6,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,AMZN,"Amazon.com, Inc.",US,소비재,2026-08-14,262.65,27251700,47966510.0,9.8257,,87,60,60,50,68,1,HOLD,0.69,8,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-08-14,426.35,6324700,12737685.0,14.0586,,76,65,77,58,71,2,WATCH,0.86,10,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,AVGO,Broadcom Inc.,US,반도체,2026-08-14,392.99,29513600,18103360.0,16.8407,,65,65,60,43,60,0,HOLD,0.3,4,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,META,"Meta Platforms, Inc.",US,인터넷,2026-08-14,589.85,8758000,15778595.0,21.5643,,50,65,50,66,55,0,HOLD,0.11,1,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,TSLA,"Tesla, Inc.",US,소비재,2026-08-14,342.27,45437100,39831250.0,11.1957,,52,60,70,30,56,1,HOLD,0.04,0,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,LLY,Eli Lilly and Company,US,제약/바이오,2026-08-14,1180.16,2274500,2665145.0,43.5584,,69,65,81,50,69,1,HOLD,0.9,11,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,MU,"Micron Technology, Inc.",US,반도체,2026-08-14,971.66,27881100,41977940.0,75.0478,,80,65,65,58,69,1,HOLD,0.91,11,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,JPM,JPMorgan Chase & Co.,US,금융,2026-08-14,362.84,5058600,6605410.0,6.1771,,73,60,66,60,66,1,HOLD,0.8,10,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,WMT,Walmart Inc.,US,소매,2026-08-14,115.27,14520000,21467700.0,2.5621,,72,60,50,29,57,1,HOLD,0.14,2,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,AMD,"Advanced Micro Devices, Inc.",US,반도체,2026-08-14,514.39,25570300,28502985.0,32.7793,,73,65,65,35,63,1,HOLD,0.73,9,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,ASML,ASML Holding N.V.,US,반도체,2026-08-14,1844.08,929000,1593020.0,71.4087,,80,65,65,35,66,1,HOLD,0.83,10,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,V,Visa Inc.,US,금융,2026-08-14,364.15,8106900,6669540.0,7.61,,62,60,63,50,60,0,HOLD,0.53,6,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,XOM,Exxon Mobil Corporation,US,에너지,2026-08-14,159.07,10231300,13952955.0,3.9359,,87,60,40,58,63,1,HOLD,0.53,6,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,JNJ,Johnson & Johnson,US,제약/바이오,2026-08-14,260.35,4998100,7275625.0,5.6443,,62,65,56,53,59,0,HOLD,0.55,7,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,INTC,Intel Corp.,US,반도체,2026-08-14,102.5,95387500,119300345.0,6.8493,,72,65,83,42,69,2,WATCH,0.65,8,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,MA,Mastercard Incorporated,US,금융,2026-08-14,569.29,2473300,2959150.0,11.2,,69,60,53,50,60,0,HOLD,0.57,7,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,BAC,Bank of America Corporation,US,금융,2026-08-14,64.49,21847900,29015400.0,0.9721,,95,60,81,60,79,2,WATCH,1.26,15,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,ABBV,AbbVie Inc.,US,제약/바이오,2026-08-14,249.46,4195000,5290445.0,6.5857,,44,65,81,51,60,1,HOLD,0.55,7,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,CSCO,"Cisco Systems, Inc.",US,IT,2026-08-14,111.68,29415200,22475915.0,4.7314,,28,60,65,50,49,0,HOLD,-0.15,-2,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,ORCL,Oracle Corporation,US,IT,2026-08-14,150.52,21905500,32175435.0,7.5557,,52,60,60,50,56,0,HOLD,0.0,0,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,COST,Costco Wholesale Corporation,US,소매,2026-08-14,961.1,1165100,1810125.0,18.2171,,65,60,60,29,57,0,HOLD,0.2,2,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,LRCX,Lam Research Corporation,US,반도체,2026-08-14,332.36,7422900,10652600.0,23.1086,,76,65,73,42,68,2,WATCH,0.88,11,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,AMAT,"Applied Materials, Inc.",US,반도체,2026-08-14,507.18,13132300,7719745.0,33.9814,,54,65,65,42,58,0,HOLD,0.49,6,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,PLTR,Palantir Technologies Inc.,US,IT,2026-08-14,174.04,24065800,46959185.0,9.6011,,78,60,42,35,57,1,HOLD,0.53,6,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,CVX,Chevron Corporation,US,에너지,2026-08-14,200.0,7910500,7878835.0,4.82,,88,60,32,74,64,2,WATCH,0.57,7,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,CAT,Caterpillar Inc.,US,산업재,2026-08-14,856.57,1894900,3068450.0,37.7136,,65,60,65,50,62,0,HOLD,0.39,5,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,GE,GE Aerospace,US,산업재,2026-08-14,368.38,2966200,3319735.0,9.2686,,66,60,60,29,57,0,HOLD,0.53,6,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,KO,The Coca-Cola Company,US,소매,2026-08-14,87.71,9166400,15847870.0,1.7757,,69,60,53,37,58,0,HOLD,0.45,5,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,UNH,UnitedHealth Group Incorporated,US,제약/바이오,2026-08-14,401.73,3476400,4404755.0,10.54,,43,65,83,66,63,1,HOLD,0.44,5,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,HSBC,HSBC Holdings plc,US,금융,2026-08-14,103.79,604400,1317180.0,1.8378,,62,60,55,60,59,0,HOLD,0.53,6,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,PG,The Procter & Gamble Company,US,소매,2026-08-14,144.55,7249600,8217430.0,3.3786,,25,60,63,45,46,0,HOLD,-0.12,-1,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,MS,Morgan Stanley,US,금융,2026-08-14,217.36,3405800,5063270.0,5.3332,,69,60,60,60,63,0,HOLD,0.66,8,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,HD,"The Home Depot, Inc.",US,소비재,2026-08-14,338.86,3073100,3671170.0,8.5207,,47,60,60,42,53,0,HOLD,0.3,4,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,MRK,"Merck & Co., Inc.",US,제약/바이오,2026-08-14,135.84,6869000,8213210.0,3.3643,,92,65,50,38,66,1,HOLD,0.85,10,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,DELL,Dell Technologies Inc.,US,IT,2026-08-14,490.81,3992900,5876925.0,35.8586,,95,60,55,66,72,1,HOLD,1.01,12,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,NFLX,"Netflix, Inc.",US,인터넷,2026-08-14,78.16,26751000,38408030.0,2.2429,,59,65,45,50,55,0,HOLD,0.04,0,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,PANW,"Palo Alto Networks, Inc.",US,IT,2026-08-14,384.27,4353500,5878690.0,14.7821,,80,60,52,30,60,1,HOLD,0.64,8,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,GS,"The Goldman Sachs Group, Inc.",US,금융,2026-08-14,1039.42,1592900,1878470.0,28.9793,,32,60,55,60,49,0,HOLD,0.04,0,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,RY,Royal Bank of Canada,US,금융,2026-08-14,216.56,1193200,1395915.0,3.175,,88,60,60,50,68,1,HOLD,0.91,11,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,RTX,RTX Corporation,US,산업재,2026-08-14,222.97,2871100,5184025.0,4.4133,,73,60,45,58,60,1,HOLD,0.57,7,False,backfill
2026-08-17T13:04:10.622819+09:00,2026-08-17,ARM,Arm Holdings plc American Depositary Sha,US,반도체,2026-08-14,279.44,2102000,5258445.0,22.5208,,68,65,55,35,59,0,HOLD,0.56,7,False,backfill
