scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-21T07:32:10.698541+09:00,2026-08-21,AIT,"Applied Industrial Technologies, Inc.",US,산업재,2026-08-20,340.34,222573,266878.65,8.5857,12490088448,50,60,63,50,56,0,HOLD,0.37,4,False,live,,61,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,WBS,Webster Financial Corporation,US,금융,2026-08-19,77.57,91317300,10670970.0,0.6769,12568934400,69,60,55,60,57,0,HOLD,0.4,5,False,live,,39,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AGNC,AGNC Investment Corp.,US,리츠,2026-08-20,10.92,12619370,18247268.5,0.1743,12945458176,91,60,60,65,70,1,HOLD,0.94,11,False,live,,61,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,WSE,Wise Group plc Class A Ordinary Shares,US,IT,2026-08-20,12.52,762374,1162758.7,0.3264,12316293120,80,60,75,45,63,2,WATCH,0.58,7,False,live,,37,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,HBM,Hudbay Minerals Inc.,US,소재,2026-08-20,28.15,3841239,5076101.95,1.2641,12502675456,76,60,60,60,70,2,WATCH,0.93,11,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DKNG,DraftKings Inc.,US,소비재,2026-08-20,25.03,8262512,12991540.6,1.318,12426245120,72,60,60,60,68,2,WATCH,0.67,8,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,GLPI,"Gaming and Leisure Properties, Inc.",US,리츠,2026-08-20,43.71,4721601,2588100.05,0.8879,13091166208,28,60,60,60,48,0,HOLD,-0.27,-3,False,live,,47,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,WTS,"Watts Water Technologies, Inc.",US,산업재,2026-08-20,369.9,169300,199470.0,9.6521,12348390400,73,60,73,45,59,2,HOLD,0.6,7,False,live,,29,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AMH,American Homes 4 Rent,US,리츠,2026-08-20,34.37,1445808,2145165.4,0.6193,14090049536,69,60,75,58,63,1,HOLD,0.59,7,False,live,,40,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,ARWR,"Arrowhead Pharmaceuticals, Inc.",US,제약/바이오,2026-08-20,87.47,896837,1344986.85,3.2004,12320763904,69,65,50,42,50,0,HOLD,0.31,4,False,live,,31,NEUTRAL
