scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime,exchange
2026-09-13T07:57:09.451647+09:00,2026-09-13,NVDA,NVIDIA Corporation,US,반도체,2026-09-11,218.29,88804100,127706235.0,7.6672,5271048421376,47,65,63,58,54,0,HOLD,0.2,2,False,live,STOCK,48,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,AAPL,Apple Inc.,US,IT,2026-09-11,332.27,50659000,42530425.0,7.845,4849207869440,63,60,58,42,58,1,HOLD,0.62,7,False,live,STOCK,77,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,GOOG,Alphabet Inc.,US,인터넷,2026-09-11,335.45,15792800,15345715.0,6.9896,4102531842048,28,65,70,60,50,1,HOLD,-0.17,-2,False,live,STOCK,46,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,MSFT,Microsoft Corporation,US,IT,2026-09-11,495.63,14510500,20799005.0,10.0579,3680323239936,73,60,50,50,63,2,WATCH,0.73,9,False,live,STOCK,80,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,AMZN,"Amazon.com, Inc.",US,소비재,2026-09-11,256.78,26682800,31943430.0,5.6293,2769709432832,47,60,60,50,49,0,HOLD,0.09,1,False,live,STOCK,39,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-09-11,433.24,10629200,9254790.0,9.8836,2246988005376,87,65,77,66,69,2,WATCH,0.8,10,False,live,STOCK,38,NEUTRAL,NYSE
2026-09-13T07:57:09.451647+09:00,2026-09-13,SPCX,Space Exploration Technologies Corp.,US,산업재,2026-09-11,151.21,78876800,79953730.0,6.1286,1992068956160,80,60,78,27,60,2,WATCH,0.64,8,False,live,STOCK,62,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,AVGO,Broadcom Inc.,US,반도체,2026-09-11,361.99,21142900,25744245.0,10.3886,1728006324224,50,65,60,50,49,0,HOLD,-0.08,-1,False,live,STOCK,33,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,META,"Meta Platforms, Inc.",US,인터넷,2026-09-11,648.03,16908400,17894880.0,21.325,1650860490752,58,65,50,66,59,0,HOLD,0.44,5,False,live,STOCK,61,NEUTRAL,NASDAQ
2026-09-13T07:57:09.451647+09:00,2026-09-13,TSLA,"Tesla, Inc.",US,소비재,2026-09-11,365.44,30091300,39539100.0,14.2721,1443322658816,73,60,70,30,55,2,HOLD,0.32,4,False,live,STOCK,49,NEUTRAL,NASDAQ
