scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source
2026-08-14T13:41:30.134699+09:00,2026-08-14,NVDA,NVIDIA Corporation,US,반도체,2026-08-13,225.3,98867200,123783545.0,7.5786,,87,65,38,58,64,1,HOLD,0.47,6,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,AAPL,Apple Inc.,US,IT,2026-08-13,305.26,40349300,54376315.0,8.7989,,32,60,53,42,45,0,HOLD,-0.15,-2,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,GOOGL,Alphabet Inc.,US,인터넷,2026-08-13,346.36,17866100,31906300.0,11.9264,,57,65,35,68,54,0,HOLD,-0.07,-1,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,GOOG,Alphabet Inc.,US,인터넷,2026-08-13,343.94,14997800,21208900.0,11.4094,,35,65,35,68,46,0,HOLD,-0.38,-5,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,MSFT,Microsoft Corporation,US,IT,2026-08-13,496.88,23039000,38593795.0,17.4036,,73,60,35,50,56,1,HOLD,0.43,5,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,AMZN,"Amazon.com, Inc.",US,소비재,2026-08-13,265.13,32170200,48782545.0,9.9336,,87,60,32,50,60,1,HOLD,0.39,5,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-08-13,430.49,8194000,13470775.0,14.9329,,72,65,57,58,64,1,HOLD,0.56,7,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,AVGO,Broadcom Inc.,US,반도체,2026-08-13,417.82,13180500,17791290.0,15.9179,,77,65,40,43,58,1,HOLD,0.29,3,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,META,"Meta Platforms, Inc.",US,인터넷,2026-08-13,594.97,11164200,16454090.0,21.9614,,28,65,35,66,43,0,AVOID,-0.35,-4,True,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,TSLA,"Tesla, Inc.",US,소비재,2026-08-13,339.96,34708300,39129125.0,10.9664,,62,60,50,30,53,0,HOLD,-0.03,0,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,LLY,Eli Lilly and Company,US,제약/바이오,2026-08-13,1207.27,1927300,2689295.0,42.5226,,88,65,71,42,71,2,WATCH,1.03,12,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,MU,"Micron Technology, Inc.",US,반도체,2026-08-13,949.83,36704700,43751200.0,78.3364,,73,65,58,58,65,1,HOLD,0.74,9,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,JPM,JPMorgan Chase & Co.,US,금융,2026-08-13,363.11,5102700,6815025.0,6.3214,,95,60,53,60,70,1,HOLD,0.97,12,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,WMT,Walmart Inc.,US,소매,2026-08-13,115.72,16822200,22156190.0,2.65,,59,60,40,29,49,0,HOLD,-0.15,-2,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,AMD,"Advanced Micro Devices, Inc.",US,반도체,2026-08-13,483.01,18764900,28830265.0,34.1657,,32,65,55,35,46,0,HOLD,-0.05,-1,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,ASML,ASML Holding N.V.,US,반도체,2026-08-13,1847.9,1237900,1657040.0,79.3126,,73,65,50,35,59,1,HOLD,0.57,7,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,V,Visa Inc.,US,금융,2026-08-13,365.45,8142600,6634215.0,7.8861,,69,60,38,50,55,0,HOLD,0.39,5,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,XOM,Exxon Mobil Corporation,US,에너지,2026-08-13,157.5896,10542800,14392960.0,4.063,,80,60,35,58,59,1,HOLD,0.42,5,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,JNJ,Johnson & Johnson,US,제약/바이오,2026-08-13,262.08,4852700,7534105.0,5.9679,,62,65,46,53,56,0,HOLD,0.43,5,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,INTC,Intel Corp.,US,반도체,2026-08-13,104.56,116837600,120869935.0,7.0793,,72,65,73,42,66,2,WATCH,0.5,6,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,MA,Mastercard Incorporated,US,금융,2026-08-13,567.04,1982600,2996565.0,11.7714,,69,60,43,42,55,0,HOLD,0.43,5,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,BAC,Bank of America Corporation,US,금융,2026-08-13,64.09,27306400,30175265.0,1.0014,,95,60,68,60,75,1,HOLD,1.12,13,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,ORCL,Oracle Corporation,US,IT,2026-08-13,156.22,25740000,33076015.0,7.5136,,44,60,40,50,47,0,HOLD,-0.32,-4,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,CSCO,"Cisco Systems, Inc.",US,IT,2026-08-13,113.47,61560400,22428130.0,4.6614,,50,60,50,50,52,0,HOLD,0.05,1,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,ABBV,AbbVie Inc.,US,제약/바이오,2026-08-13,250.82,4370400,5424315.0,6.7414,,44,65,61,51,54,0,HOLD,0.34,4,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,COST,Costco Wholesale Corporation,US,소매,2026-08-13,961.85,1324900,1877270.0,19.215,,72,60,45,29,55,1,HOLD,0.15,2,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,AMAT,"Applied Materials, Inc.",US,반도체,2026-08-13,534.54,12963300,7579455.0,35.2293,,73,65,45,42,58,1,HOLD,0.55,7,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,LRCX,Lam Research Corporation,US,반도체,2026-08-13,337.01,8901000,10921740.0,24.2236,,73,65,53,42,61,1,HOLD,0.6,7,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,PLTR,Palantir Technologies Inc.,US,IT,2026-08-13,179.01,36511200,47349650.0,9.8232,,70,60,32,35,51,1,HOLD,0.31,4,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,CVX,Chevron Corporation,US,에너지,2026-08-13,197.7,5908900,7836225.0,4.9764,,81,60,17,74,57,2,HOLD,0.33,4,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,CAT,Caterpillar Inc.,US,산업재,2026-08-13,854.6,2523500,3142565.0,40.1029,,50,60,45,50,50,0,HOLD,-0.08,-1,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,KO,The Coca-Cola Company,US,소매,2026-08-13,87.42,10140600,17034700.0,1.8557,,59,60,43,37,51,0,HOLD,0.2,2,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,GE,GE Aerospace,US,산업재,2026-08-13,360.64,2738400,3451240.0,9.5343,,66,60,45,29,53,0,HOLD,0.37,4,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,UNH,UnitedHealth Group Incorporated,US,제약/바이오,2026-08-13,399.06,4170200,4766840.0,10.8057,,43,65,73,66,60,1,HOLD,0.31,4,False,backfill
2026-08-14T13:41:30.134699+09:00,2026-08-14,HSBC,HSBC Holdings plc,US,금융,2026-08-13,103.55,789200,1376670.0,1.8724,,69,60,55,60,62,0,HOLD,0.62,7,False,backfill
